,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,201,Rondae Hollis-Jefferson,BKN,24,59,27,32,20.9,8.9,3.4,8.3,41.1,0.2,0.8,18.4,2.0,3.1,64.5,1.4,3.8,5.3,1.6,1.2,0.7,0.5,1.8,20.1,4,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1,202,Ivica Zubac,LAC,22,59,32,27,17.6,8.9,3.6,6.4,55.9,0.0,0.0,0.0,1.7,2.1,80.2,1.9,4.2,6.1,1.1,1.2,0.2,0.9,2.3,20.0,8,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
2,203,Bam Adebayo,MIA,21,82,39,43,23.3,8.9,3.4,5.9,57.6,0.0,0.2,20.0,2.0,2.8,73.5,2.0,5.3,7.3,2.2,1.5,0.9,0.8,2.5,24.5,11,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
3,204,Tomas Satoransky,WAS,27,80,32,48,27.0,8.9,3.2,6.6,48.5,0.8,2.0,39.5,1.6,2.0,81.9,1.0,2.5,3.5,5.0,1.5,1.0,0.2,2.2,22.6,7,1,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
4,205,Marcus Smart,BOS,25,80,48,32,27.5,8.9,3.0,7.1,42.2,1.6,4.3,36.4,1.3,1.6,80.6,0.7,2.2,2.9,4.0,1.5,1.8,0.4,2.5,23.3,1,0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
5,206,Mario Hezonja,NYK,24,58,12,46,20.8,8.8,3.3,8.0,41.2,0.7,2.6,27.6,1.5,2.0,76.3,0.5,3.6,4.1,1.5,1.5,1.0,0.1,1.9,17.9,1,1,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,
6,207,Alec Burks,SAC,27,64,19,45,21.5,8.8,3.0,7.4,40.5,1.0,2.6,36.3,1.8,2.2,82.3,0.5,3.2,3.7,2.0,1.0,0.6,0.3,1.4,18.0,1,0,-4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
7,208,Delon Wright,MEM,26,75,45,30,22.6,8.7,3.2,7.4,43.4,0.7,2.2,29.8,1.6,2.0,79.3,0.9,2.6,3.5,3.3,1.0,1.2,0.4,1.4,21.6,4,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,209,Frank Kaminsky,CHA,26,47,22,25,16.1,8.6,2.9,6.3,46.3,1.1,3.0,36.0,1.7,2.3,73.8,0.8,2.6,3.5,1.3,0.9,0.3,0.3,1.4,15.4,2,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
9,210,Norman Powell,TOR,25,60,45,15,18.8,8.6,3.2,6.7,48.3,1.1,2.8,40.0,1.0,1.3,82.7,0.3,2.1,2.3,1.5,1.1,0.7,0.2,1.6,15.2,0,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
10,211,Kyle Korver,UTA,38,70,39,31,19.1,8.6,2.9,6.9,41.6,2.0,5.0,39.7,0.9,1.0,82.2,0.1,2.2,2.3,1.2,0.8,0.4,0.2,1.5,13.8,0,0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
11,212,Trey Lyles,DEN,23,64,42,22,17.5,8.5,3.2,7.7,41.8,0.8,3.1,25.5,1.3,1.8,69.8,0.7,3.2,3.8,1.4,1.1,0.5,0.4,1.5,16.6,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
12,213,Rodions Kurucs,BKN,21,63,36,27,20.5,8.5,3.2,7.1,45.0,0.9,2.9,31.5,1.1,1.5,78.3,0.9,3.0,3.9,0.8,1.2,0.7,0.4,2.3,16.3,2,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,214,Langston Galloway,DET,27,80,41,39,21.8,8.4,2.9,7.3,38.8,1.7,4.8,35.5,1.0,1.2,84.4,0.6,1.5,2.1,1.1,0.3,0.5,0.1,1.7,13.9,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
14,215,Noah Vonleh,NYK,23,68,13,55,25.3,8.4,3.0,6.5,47.0,0.7,2.0,33.6,1.6,2.3,71.2,1.7,6.1,7.8,1.9,1.3,0.7,0.8,2.6,23.5,18,0,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
15,216,DeAndre' Bembry,ATL,24,82,29,53,23.6,8.4,3.4,7.5,44.6,0.6,2.1,28.9,1.1,1.7,64.0,0.7,3.7,4.4,2.5,1.7,1.3,0.5,2.3,20.9,3,0,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
16,217,Mikal Bridges,PHX,22,82,19,63,29.5,8.3,3.0,6.9,43.0,1.3,3.8,33.5,1.2,1.4,80.5,0.7,2.5,3.2,2.1,0.9,1.6,0.5,2.5,20.6,0,0,-4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
17,218,Bruno Caboclo,MEM,23,34,14,20,23.5,8.3,2.8,6.6,42.7,1.4,3.8,36.9,1.2,1.5,84.0,1.2,3.4,4.6,1.5,1.1,0.4,1.0,2.4,19.1,3,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,219,Darius Miller,NOP,29,69,31,38,25.5,8.2,2.7,7.0,39.0,1.9,5.3,36.5,0.8,1.0,78.9,0.2,1.7,1.9,2.1,0.9,0.6,0.3,2.4,15.5,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
19,220,Jahlil Okafor,NOP,23,59,23,36,15.8,8.2,3.6,6.1,58.6,0.0,0.1,20.0,1.0,1.5,66.3,1.4,3.3,4.7,0.7,0.9,0.3,0.7,1.6,16.8,6,0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
